Sale,Tax,Total
70,5.775,75.775
73,6.0225,79.0225
93,7.6725,100.6725
74,6.105,80.105
75,6.1875,81.1875
73,6.0225,79.0225
72,5.94,77.94
74,6.105,80.105
82,6.765,88.765
94,7.755,101.755
89,7.3425,96.3425
83,6.8475,89.8475
81,6.6825,87.6825
71,5.8575,76.8575
73,6.0225,79.0225
82,6.765,88.765
93,7.6725,100.6725
81,6.6825,87.6825
87,7.1775,94.1775
76,6.27,82.27
73,6.0225,79.0225
93,7.6725,100.6725
79,6.5175,85.5175
89,7.3425,96.3425
80,6.6,86.6
92,7.59,99.59
83,6.8475,89.8475
71,5.8575,76.8575
89,7.3425,96.3425
94,7.755,101.755
